,make,model,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province
31793,55,530,5490,0,2011.0,135000,110.0,5,1,295,1,True,7
31794,49,109,1550,4,2003.0,141000,114.0,5,1,295,18,False,7
31795,51,17,1599,0,2005.0,240000,70.0,5,1,1540,9,True,29
31796,46,484,5900,4,2019.0,11073,102.0,2,1,2592,11,True,46
31797,4,88,18800,0,2014.0,111090,150.0,5,0,2592,20,True,49
31798,11,383,3999,0,2007.0,220000,110.0,5,1,255,9,True,29
31799,11,160,8500,4,2014.0,67000,120.0,5,1,823,18,True,2
31800,26,740,14500,4,2015.0,51000,131.0,5,1,881,10,False,29
31801,54,203,90900,4,2019.0,26785,340.0,5,0,2823,16,True,36
31802,67,125,14800,5,2017.0,52810,136.0,5,0,1586,27,True,7
31803,22,647,7990,0,2010.0,165081,140.0,5,0,2592,29,True,29
31804,7,687,8699,4,2007.0,98000,122.0,3,0,3062,28,True,2
31805,33,206,14900,4,2019.0,16200,120.0,5,1,3062,12,True,19
31806,50,802,17790,0,2018.0,8596,120.0,4,1,881,38,True,29
31807,4,91,19000,0,2009.0,75000,240.0,2,0,881,7,False,14
31808,59,118,16490,4,2020.0,1700,95.0,5,1,881,43,True,45
31809,33,200,10900,0,2014.0,136000,115.0,5,1,2995,21,True,20
31810,67,150,23000,5,2018.0,26534,122.0,5,0,1577,22,True,29
31812,59,122,24600,4,2019.0,12990,150.0,5,1,881,11,True,44
31813,55,530,5750,0,2013.0,175000,110.0,5,1,295,11,True,29
31814,36,632,79900,0,2018.0,42500,339.0,5,0,1577,11,False,7
31816,11,139,9990,0,2017.0,113800,75.0,4,1,881,19,True,49
31817,55,447,10850,0,2012.0,151405,150.0,5,1,881,15,True,26
31818,33,848,18390,4,2020.0,5,100.0,5,1,1149,30,True,51
31819,22,151,9800,0,2016.0,160000,120.0,5,1,881,8,True,31
31820,7,693,29990,0,2018.0,89001,190.0,4,0,2592,19,True,23
31821,70,655,8990,0,2010.0,198000,163.0,4,0,11,32,True,27
31822,59,417,11790,4,2018.0,49600,75.0,5,0,295,19,True,39
31823,69,759,13490,0,2015.0,59990,105.0,5,1,2592,35,True,47
31824,21,60,10495,4,2018.0,26233,69.0,2,1,881,5,True,25
31825,51,40,14490,0,2016.0,69000,150.0,5,0,1577,22,True,7
31827,50,843,13900,4,2017.0,75000,140.0,5,0,2592,54,True,29
31829,11,431,15690,0,2017.0,133233,115.0,4,1,881,33,True,29
31831,26,411,21790,5,2019.0,9575,141.0,5,0,3019,16,True,23
31832,4,88,18900,0,2017.0,34849,116.0,5,0,881,50,True,4
31833,59,475,27990,4,2018.0,65960,300.0,5,0,881,5,True,39
31834,22,341,8990,0,2014.0,79999,115.0,5,1,1577,29,True,29
31835,59,96,3000,4,2007.0,225000,102.0,5,1,1577,5,False,25
31836,63,829,26200,4,2020.0,8,114.0,5,0,1310,21,True,3
31837,4,88,24800,6,2017.0,29095,204.0,5,0,1294,37,True,7
31838,7,691,5990,4,1988.0,270000,129.0,2,1,1577,14,True,32
31840,67,131,11495,4,2020.0,1491,69.0,5,1,3472,21,True,21
31841,51,64,14900,5,2014.0,140000,200.0,5,0,2592,27,False,29
31842,50,802,11000,0,2013.0,180000,114.0,4,1,881,5,False,32
31843,22,335,12900,4,2018.0,27920,100.0,5,1,881,28,True,26
31845,55,239,11400,0,2018.0,42442,90.0,5,1,1418,6,True,20
31846,22,452,17390,0,2016.0,92069,150.0,5,1,3232,14,True,29
31847,44,219,4500,0,2006.0,207000,224.0,2,0,3062,5,False,7
31848,70,655,2400,0,2002.0,270000,163.0,4,1,255,7,False,7
31849,69,577,12995,4,2018.0,44900,95.0,5,1,97,14,True,23
31850,67,254,23950,5,2019.0,0,122.0,5,0,881,8,True,31
31852,61,861,5500,4,2014.0,77000,71.0,3,0,881,19,False,2
31854,50,271,16200,4,2019.0,12594,130.0,5,1,295,11,True,7
31856,4,88,13200,0,2013.0,105712,105.0,5,0,1598,37,True,16
31857,55,239,7000,4,2011.0,121000,75.0,3,1,881,7,True,46
31858,38,359,18490,5,2015.0,180774,223.0,4,0,1577,19,True,29
31859,49,606,16400,4,2019.0,23000,140.0,5,1,1581,21,True,45
31860,44,225,107900,4,2019.0,17000,510.0,5,0,2288,9,True,25
31861,22,341,20890,4,2019.0,0,125.0,5,1,881,11,True,20
31862,26,469,950,0,1998.0,169000,68.0,4,1,3421,9,False,3
31863,7,687,12990,0,2017.0,159035,116.0,5,1,2444,16,False,12
31864,50,121,4500,0,2016.0,299000,110.0,5,1,881,12,True,44
31865,51,852,29000,1,2019.0,10,136.0,5,0,3194,21,True,7
31867,44,227,54900,0,2017.0,75700,258.0,5,0,881,23,True,27
31868,70,652,5200,0,2009.0,170000,136.0,4,1,1577,8,False,44
31869,69,565,17900,0,2015.0,69700,150.0,5,0,2010,54,True,29
31870,47,98,12900,0,2014.0,60575,116.0,5,1,3226,19,True,49
31871,22,335,9790,4,2018.0,48000,85.0,5,1,2592,18,True,31
31873,69,377,13990,0,2016.0,96444,110.0,5,0,881,32,True,7
31874,22,767,3990,0,2006.0,193000,90.0,4,1,881,33,True,49
31875,7,687,18300,0,2018.0,65301,116.0,5,0,1577,33,True,45
31876,11,139,16790,0,2020.0,4,102.0,5,1,881,26,True,50
31877,47,520,14900,0,2006.0,209000,160.0,5,0,1577,39,True,37
31878,22,452,30470,4,2020.0,17,150.0,5,1,881,23,True,29
31880,50,121,3690,0,2007.0,150000,120.0,3,1,2592,16,True,6
31881,44,221,45900,0,2018.0,49990,194.0,2,0,2592,22,True,32
31882,44,226,35900,0,2016.0,111393,204.0,5,0,176,35,True,7
31883,11,166,10990,0,2017.0,149000,150.0,5,1,1850,15,True,32
31885,33,573,3600,4,2010.0,129808,62.0,5,1,295,10,True,31
31886,69,377,3250,4,2002.0,72000,105.0,3,1,1577,0,False,2
31887,7,687,11990,0,2015.0,99000,116.0,5,1,1577,30,True,29
31888,22,517,2500,0,2006.0,232000,130.0,5,1,295,6,False,39
31889,44,215,27900,0,2016.0,98000,204.0,5,0,2592,22,True,39
31890,50,271,14700,4,2020.0,400,81.0,5,1,1577,28,True,45
31891,69,758,10500,0,2006.0,115500,225.0,5,0,2592,8,False,18
31892,43,184,9999,0,2014.0,200000,150.0,5,1,2592,10,True,37
31893,11,383,5495,0,2009.0,140000,110.0,5,1,1577,11,True,29
31894,21,723,600,0,2002.0,334000,115.0,3,1,255,9,False,26
31895,67,125,10900,0,2017.0,90000,112.0,5,1,881,16,True,33
31900,11,139,13900,0,2019.0,11000,102.0,4,1,881,8,True,39
31901,4,89,15900,0,2014.0,158328,150.0,5,1,2592,12,True,2
31902,59,417,6900,0,2014.0,90000,90.0,5,1,1577,54,True,18
31903,69,752,14900,0,2014.0,140000,140.0,5,1,881,9,True,45
31905,44,215,34900,4,2016.0,85300,204.0,2,0,1252,24,True,14
31906,36,633,24490,0,2015.0,73382,150.0,5,0,740,54,True,8
31907,46,484,6900,0,2012.0,200000,90.0,3,0,2592,17,True,29
31908,7,815,12990,0,2008.0,223000,235.0,5,0,1577,21,True,36
31909,55,530,17950,4,2019.0,4863,140.0,5,0,3190,23,True,20
31910,44,215,29999,0,2017.0,27500,170.0,2,0,1577,54,True,2
31911,69,377,15790,0,2018.0,56822,115.0,5,1,1374,51,True,29
31912,7,813,17099,4,2012.0,116178,245.0,5,0,1577,27,True,7
31914,44,226,40254,0,2016.0,75040,204.0,5,0,2787,11,True,29
31915,11,149,16250,0,2019.0,0,102.0,4,1,881,7,True,29
31916,61,860,21500,1,2020.0,1000,82.0,5,0,1433,16,True,45
31917,33,718,24750,5,2020.0,10542,136.0,5,0,2592,7,True,7
31918,7,690,14490,0,2016.0,126000,150.0,5,0,1577,28,True,29
31919,51,51,750,0,1998.0,205000,110.0,4,1,3421,0,False,29
31920,22,647,8900,0,2012.0,165000,140.0,5,0,1577,11,True,41
31921,59,475,16890,4,2019.0,9549,130.0,5,1,881,23,True,29
31923,67,127,4999,0,2007.0,153000,126.0,5,1,1577,33,True,29
31924,69,379,11950,0,2016.0,81000,110.0,5,1,295,12,True,29
31925,49,606,15000,0,2018.0,100000,130.0,5,1,881,12,True,39
31926,69,377,2490,4,2002.0,199000,105.0,3,1,1577,11,True,7
31927,69,377,39900,4,2020.0,2800,245.0,5,0,1577,28,True,45
31928,59,417,15490,4,2019.0,38892,115.0,5,1,1577,16,True,39
31929,21,58,8590,4,2015.0,39768,69.0,3,1,3062,29,True,47
31931,7,690,14350,0,2016.0,69000,116.0,5,1,236,47,True,29
31932,0,58,17990,4,2018.0,14036,165.0,3,1,295,11,True,25
