,make,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province
43025,CITROEN,1900,Diésel,2007.0,203290,110.0,5,Manual,Gris / Plata,0,False,Barcelona
43026,BMW,10000,Diésel,2010.0,158000,177.0,5,Automático,Azul,4,False,La Rioja
43027,CITROEN,6900,Diésel,2009.0,168000,110.0,5,Manual,Gris / Plata,7,True,Pontevedra
43028,AUDI,16500,Diésel,2011.0,140000,190.0,5,Automático,Azul,6,False,Valencia
43030,TOYOTA,3000,Diésel,2008.0,240000,177.0,5,Manual,Rojo,9,False,Toledo
43031,BMW,17900,Diésel,2017.0,54461,116.0,3,Manual,Gris / Plata (B39 Mineralgrau),11,True,Madrid
43032,JAGUAR,49000,Diésel,2017.0,100000,300.0,5,Automático,Blanco,8,True,Valencia
43033,VOLKSWAGEN,5800,Diésel,2007.0,188258,140.0,5,Manual,Violeta / Lila,9,False,Murcia
43034,SEAT,13450,Gasolina,2018.0,86000,115.0,5,Manual,Gris / Plata (MET Pintura metalizada),33,True,Barcelona
43035,RENAULT,23000,Diésel,2020.0,1000,115.0,5,Manual,Naranja,14,True,Asturias
43036,FORD,10900,Diésel,2016.0,111157,95.0,5,Manual,Azul,15,True,A Coruña
43037,BMW,37900,Diésel,2018.0,98860,258.0,5,Automático,Azul,40,True,Madrid
43038,BMW,6500,Gasolina,2004.0,130000,231.0,4,Automático,Gris / Plata,10,False,Alicante
43039,FORD,2990,Gasolina,2006.0,99000,80.0,3,Manual,Negro,10,True,Madrid
43040,AUDI,25000,Diésel,2016.0,78390,150.0,4,Automático,Rojo,15,True,Granada
43041,LAND-ROVER,71000,Diésel,2018.0,61000,300.0,5,Automático,Gris / Plata,12,False,Barcelona
43042,RENAULT,18490,Diésel,2020.0,2000,115.0,5,Manual,Rojo (Tapicería Zen),21,True,Lugo
43044,PEUGEOT,14900,Gasolina,2020.0,5,100.0,5,Manual,Amarillo (AMARILLO FARO),45,True,Guadalajara
43045,CITROEN,8250,Diésel,2016.0,114000,120.0,5,Manual,Negro,23,True,Barcelona
43046,RENAULT,12500,Diésel,2016.0,62377,90.0,5,Manual,Gris / Plata,11,True,Salamanca
43048,JAGUAR,11000,Gasolina,1997.0,76200,290.0,4,Automático,Granate,11,True,Madrid
43049,AUDI,18900,Diésel,2016.0,94621,110.0,5,Automático,L5L5 Plata Florete (metalizado),9,True,Granada
43050,FIAT,9295,Gasolina,2018.0,33588,69.0,3,Manual,Negro,52,True,Valencia
43052,VOLKSWAGEN,5950,Diésel,2010.0,156000,90.0,5,Automático,Gris / Plata,6,False,Sevilla
43053,FORD,1300,Gasolina,2004.0,313000,100.0,3,Manual,Gris / Plata,1,False,Barcelona
43054,PEUGEOT,17000,Eléctrico,2020.0,10,67.0,5,Automático,Blanco,12,True,Sevilla
43055,KIA,1200,Diésel,2004.0,310000,144.0,5,Manual,Negro,4,False,Granada
43056,RENAULT,23990,Diésel,2020.0,20,120.0,4,Manual,Blanco (Tela Kompo Negra),40,True,Pontevedra
43057,VOLVO,3990,Gasolina,2007.0,240600,100.0,3,Manual,Gris / Plata,18,False,Barcelona
43058,PEUGEOT,13990,Gasolina,2017.0,43000,130.0,5,Automático,Gris / Plata,34,True,Madrid
43059,LEXUS,6500,Gasolina,2008.0,177777,249.0,4,Automático,Azul,11,False,Almería
43060,MERCEDES-BENZ,45000,Diésel,2017.0,78000,258.0,5,Automático,Gris / Plata,1,False,Barcelona
43061,CITROEN,11990,Gasolina,2016.0,57990,110.0,5,Manual,Negro,28,True,Alicante
43062,VOLVO,24700,Diésel,2017.0,26558,150.0,5,Manual,Negro (*RIV*),34,True,Barcelona
43063,AUDI,17490,Gasolina,2007.0,134985,435.0,5,Automático,Negro,11,False,Madrid
43064,RENAULT,7300,Diésel,2014.0,100000,95.0,5,Manual,Blanco,21,True,Barcelona
43065,AUDI,34900,Gasolina,2017.0,24000,252.0,5,Automático,Marrón,18,True,Tenerife
43066,RENAULT,2550,Diésel,2004.0,372000,120.0,5,Manual,Gris / Plata,12,True,Valencia
